IP,Time,Resource,Request Method,Status Code
99.51.182.22,2024-05-16 20:22:25,/images/football.jpg,POST,404
214.130.48.115,2024-05-21 08:01:14,/archery.html,GET,304
61.8.254.31,2024-05-13 04:11:55,/table_tennis.html,GET,304
8.47.155.243,2024-05-13 07:29:25,/index.html,GET,304
71.125.23.233,2024-05-19 21:18:19,/images/boxing.jpg,GET,404
155.199.95.106,2024-05-18 21:52:05,/index.html,POST,304
114.77.119.163,2024-05-19 13:07:13,/weightlifting.html,POST,404
28.195.10.193,2024-05-20 08:53:37,/index.html,GET,304
155.228.152.57,2024-05-12 05:24:19,/searchsports.php,GET,304
221.233.44.175,2024-05-12 07:47:31,/searchsports.php,GET,404
70.31.253.70,2024-05-19 16:34:49,/table_tennis.html,POST,404
62.187.28.133,2024-05-18 22:51:42,/images/badminton.jpg,GET,304
85.49.38.28,2024-05-15 02:59:59,/images/cycling.jpg,POST,404
24.28.126.65,2024-05-16 20:25:02,/searchsports.php,GET,404
176.231.151.0,2024-05-21 22:21:49,/searchsports.php,GET,304
8.76.76.120,2024-05-16 16:03:35,/searchsports.php,GET,200
194.177.141.54,2024-05-13 10:00:24,/images/triple_jump.jpg,POST,404
98.202.156.219,2024-05-14 20:51:29,/images/triple_jump.jpg,POST,200
117.174.172.221,2024-05-16 23:10:32,/searchsports.php,GET,404
163.2.231.224,2024-05-15 08:44:53,/images/table_tennis.jpg,GET,200
201.183.221.92,2024-05-15 19:21:27,/searchsports.php,POST,404
50.167.101.132,2024-05-13 19:14:43,/gymnastics.html,GET,200
161.172.216.19,2024-05-13 12:22:10,/searchsports.php,GET,200
1.225.51.221,2024-05-15 19:59:32,/index.html,GET,304
22.196.237.202,2024-05-18 07:49:56,/searchsports.php,POST,404
158.64.202.148,2024-05-18 05:49:16,/index.html,POST,404
101.26.163.132,2024-05-12 19:31:22,/searchsports.php,GET,404
132.61.240.201,2024-05-17 21:43:41,/images/200m.jpg,POST,404
212.202.9.21,2024-05-13 22:35:18,/images/long_jump.jpg,GET,200
147.137.31.122,2024-05-21 22:11:35,/searchsports.php,GET,304
143.216.234.165,2024-05-17 05:43:40,/searchsports.php,POST,200
44.108.149.17,2024-05-16 21:35:34,/index.html,GET,200
102.142.114.52,2024-05-16 11:05:57,/searchsports.php,POST,200
129.174.105.38,2024-05-16 17:34:41,/weightlifting.html,POST,304
108.191.31.248,2024-05-18 15:40:19,/searchsports.php,GET,304
35.42.122.156,2024-05-16 09:28:06,/searchsports.php,POST,404
90.167.212.203,2024-05-21 14:02:38,/images/triple_jump.jpg,GET,200
99.186.157.33,2024-05-21 01:55:51,/searchsports.php,GET,404
145.109.113.91,2024-05-19 02:28:32,/images/weightlifting.jpg,POST,304
94.58.100.172,2024-05-19 23:34:29,/searchsports.php,POST,200
59.135.35.31,2024-05-12 06:16:12,/searchsports.php,GET,404
156.86.81.175,2024-05-14 21:32:12,/weightlifting.html,GET,304
102.120.246.50,2024-05-18 07:47:44,/images/weightlifting.jpg,POST,404
65.56.137.238,2024-05-14 01:17:36,/wrestling.html,GET,304
